id	name	ascii	alt_name	lat	long	feat_class	feat_code	country	cc2	admin1	admin2	admin3	admin4	population	elevation	dem	tz	modified_at
5881791	Abbotsford	Abbotsford	Abbotsford,YXX,Абботсфорд	49.05798	-122.25257	P	PPL	CA		02	5957659			151683		114	America/Vancouver	2013-04-22
5882142	Acton Vale	Acton Vale		45.65007	-72.56582	P	PPL	CA		10	16			5135		90	America/Montreal	2008-04-11
5882799	Airdrie	Airdrie	Erdri,ai er de li,ayrdray,ayrdry,eeodeuli,Ердри,إيردراي,ائرڈرائ,ایردری,艾尔德里,에어드리	51.30011	-114.03528	P	PPL	CA		01				24673		1086	America/Edmonton	2008-04-11
5882873	Ajax	Ajax	Adzhaks,Ehjdzhaks,Ejdzaks,ajaks, awntaryw,eijegseu,Аджакс,Ејџакс,Эйджакс,أجاكس، أونتاريو,에이젝스	43.85012	-79.03288	P	PPL	CA		08				90167		97	America/Toronto	2011-12-30
5884083	Alma	Alma	Al'ma,Alma,YTF,alma,alma, kbk,alma, kybk,Алма,Альма,آلما,آلما، کبک,ألما، كيبك	48.55009	-71.6491	P	PPL	CA		10	02			29526		90	America/Montreal	2010-01-29
5884467	Amherst	Amherst		45.83345	-64.19874	P	PPL	CA		07				9336		20	America/Halifax	2008-04-11
5884473	Amherstburg	Amherstburg		42.11679	-83.04985	P	PPL	CA		08				11459		183	America/Toronto	2006-01-22
5884588	Amos	Amos	Amos,YEY,amws,amws, kbk,amws, kybk,Амос,آموس، کبک,أموس، كيبك,اموس	48.56688	-78.11624	P	PPL	CA		10	08			17918		298	America/Montreal	2010-09-22
5885280	Angus	Angus		44.31681	-79.88295	P	PPLL	CA		08				10269		193	America/Toronto	2006-01-27
5885383	Anmore	Anmore		49.31637	-122.85263	P	PPL	CA		02	5915			126456		183	America/Vancouver	2013-08-28
5886182	Antigonish	Antigonish		45.61685	-61.99858	P	PPL	CA		07				5003		17	America/Halifax	2008-04-11
5887214	Arnprior	Arnprior		45.43341	-76.34939	P	PPL	CA		08				9607		72	America/Toronto	2008-04-11
5887470	Asbestos	Asbestos		45.76678	-71.9324	P	PPL	CA		10	05			7190		252	America/Montreal	2008-04-11
5888716	Aylmer	Aylmer		42.76679	-80.98302	P	PPL	CA		08				7527		229	America/Toronto	2008-04-11
5889745	Baie-Comeau	Baie-Comeau	Baie-Comeau,Be Komo,Be-Komo,YBC,bay kamyw,bh-kwmw,byh kwmw, kybk,Бе Комо,Бе-Комо,بائ کامیو,به-کومو,بيه كومو، كيبك	49.21679	-68.14894	P	PPL	CA		10	09			29808		76	America/Montreal	2013-08-17
5892532	Banff	Banff	Banf,Banfas,Banff,YBA,baenpeu,ban fu,banfu,banpi,bnf,Банф,Банфф,بنف,ბანფი,バンフ,班夫,밴프	51.17622	-115.56982	P	PPL	CA		01				7502		1388	America/Edmonton	2010-06-24
